"id","numero_pedido","data_vencimento","meio_pagamento","numero_parcela","percentual","quantidade_dias","tipo_documento","valor","dalt"
"7703p1","7703","21/08/2024",3,1,"50",31,"CRC","176","03/12/2024"
"7703p2","7703","21/08/2024",3,2,"50",61,"CRC","176","03/12/2024"
"7704p1","7704","06/08/2024",,1,"100",0,,"5537.13","03/12/2024"
"7706p1","7706","07/08/2024",17,1,"100",0,"VIST","624.05","03/12/2024"
"7707p1","7707","06/09/2024",,1,"25",31,,"732.5","03/12/2024"
"7707p2","7707","06/10/2024",,2,"25",61,,"732.5","03/12/2024"
"7707p3","7707","06/11/2024",,3,"25",92,,"732.5","03/12/2024"
"7707p4","7707","06/12/2024",,4,"25",122,,"732.5","03/12/2024"
"7708p1","7708","06/09/2024",,1,"100",31,,"288","03/12/2024"
"7709p1","7709","14/08/2024",17,1,"100",0,"VIST","333","03/12/2024"
"7710p1","7710","12/09/2024",,1,"100",31,,"244","03/12/2024"
"7711p1","7711","29/10/2024",17,1,"100",0,"PIX","352.8","03/12/2024"
"7713p1","7713","07/09/2024",15,1,"50",31,"BOL","253.5","03/12/2024"
"7713p2","7713","07/10/2024",15,2,"50",61,"BOL","253.5","03/12/2024"
"7714p1","7714","03/10/2024",3,1,"25",30,"CRC","257.25","03/12/2024"
"7714p2","7714","03/11/2024",3,2,"25",61,"CRC","257.25","03/12/2024"
"7714p3","7714","03/12/2024",3,3,"25",91,"CRC","257.25","03/12/2024"
"7714p4","7714","03/01/2025",3,4,"25",122,"CRC","257.25","03/12/2024"
"7715p1","7715","07/08/2024",,1,"100",0,,"5385","03/12/2024"
"7716p1","7716","07/08/2024",,1,"100",0,,"960","03/12/2024"
"7717p1","7717","12/08/2024",17,1,"100",0,"VIST","430","03/12/2024"
"7718p1","7718","12/08/2024",17,1,"100",0,"VIST","175","03/12/2024"
"7719p1","7719","13/08/2024",17,1,"33.33",31,"VIST","169","03/12/2024"
"7719p2","7719","13/08/2024",17,2,"33.33",61,"VIST","169","03/12/2024"
"7719p3","7719","13/08/2024",17,3,"33.34",92,"VIST","169","03/12/2024"
"7720p1","7720","13/08/2024",3,1,"100",31,"CRC","268","03/12/2024"
"7721p1","7721","08/09/2024",15,1,"100",31,"BOL","352","03/12/2024"
"7722p1","7722","08/09/2024",,1,"33.33",31,,"349.67","03/12/2024"
"7722p2","7722","08/10/2024",,2,"33.33",61,,"349.67","03/12/2024"
"7722p3","7722","08/11/2024",,3,"33.34",92,,"349.66","03/12/2024"
"7723p1","7723","14/09/2024",15,1,"50",31,"BOL","324","03/12/2024"
"7723p2","7723","14/10/2024",15,2,"50",61,"BOL","324","03/12/2024"
"7724p1","7724","12/08/2024",17,1,"100",0,"VIST","135","03/12/2024"
"7725p1","7725","08/09/2024",15,1,"33.33",31,"BOL","285.67","03/12/2024"
"7725p2","7725","08/10/2024",15,2,"33.33",61,"BOL","285.67","03/12/2024"
"7725p3","7725","08/11/2024",15,3,"33.34",92,"BOL","285.66","03/12/2024"
"7726p1","7726","12/08/2024",17,1,"100",0,"VIST","564.3","03/12/2024"
"7727p1","7727","09/08/2024",17,1,"100",0,"VIST","84","03/12/2024"
"7728p1","7728","08/08/2024",17,1,"100",0,"VIST","294","03/12/2024"
"7729p1","7729","08/08/2024",3,1,"50",31,"CRC","134","03/12/2024"
"7729p2","7729","08/08/2024",3,2,"50",61,"CRC","134","03/12/2024"
"7730p1","7730","08/08/2024",3,1,"100",0,"CRC","112","03/12/2024"
"7731p1","7731","12/08/2024",17,1,"100",0,"VIST","123","03/12/2024"
"7732p1","7732","08/09/2024",,1,"100",31,,"1280","03/12/2024"
"7733p1","7733","30/08/2024",17,1,"100",0,"PIX","48","03/12/2024"
"7734p1","7734","09/08/2024",17,1,"100",0,"VIST","175","03/12/2024"
"7735p1","7735","09/09/2024",15,1,"33.33",31,"BOL","348","03/12/2024"
"7735p2","7735","09/10/2024",15,2,"33.33",61,"BOL","348","03/12/2024"
"7735p3","7735","09/11/2024",15,3,"33.34",92,"BOL","348","03/12/2024"
"7736p1","7736","09/09/2024",3,1,"5.56",31,"CRC","375.19","03/12/2024"
"7736p2","7736","09/10/2024",3,2,"5.56",61,"CRC","375.19","03/12/2024"
"7736p3","7736","09/11/2024",3,3,"5.56",92,"CRC","375.19","03/12/2024"
"7736p4","7736","09/12/2024",3,4,"5.56",122,"CRC","375.19","03/12/2024"
"7736p5","7736","09/01/2025",3,5,"5.56",153,"CRC","375.19","03/12/2024"
"7736p6","7736","09/02/2025",3,6,"5.56",184,"CRC","375.19","03/12/2024"
"7736p7","7736","09/03/2025",3,7,"5.56",212,"CRC","375.19","03/12/2024"
"7736p8","7736","09/04/2025",3,8,"5.56",243,"CRC","375.19","03/12/2024"
"7736p9","7736","09/05/2025",3,9,"5.56",273,"CRC","375.19","03/12/2024"
"7736p10","7736","09/06/2025",3,10,"5.56",304,"CRC","375.19","03/12/2024"
"7736p11","7736","09/07/2025",3,11,"5.56",334,"CRC","375.19","03/12/2024"
"7736p12","7736","09/08/2025",3,12,"5.56",365,"CRC","375.19","03/12/2024"
"7736p13","7736","09/09/2025",3,13,"5.56",396,"CRC","375.19","03/12/2024"
"7736p14","7736","09/10/2025",3,14,"5.56",426,"CRC","375.19","03/12/2024"
"7736p15","7736","09/11/2025",3,15,"5.56",457,"CRC","375.19","03/12/2024"
"7736p16","7736","09/12/2025",3,16,"5.56",487,"CRC","375.19","03/12/2024"
"7736p17","7736","09/01/2026",3,17,"5.56",518,"CRC","375.19","03/12/2024"
"7736p18","7736","09/02/2026",3,18,"5.48",549,"CRC","375.19","03/12/2024"
"7737p1","7737","12/08/2024",17,1,"100",0,"VIST","112","03/12/2024"
"7738p1","7738","12/08/2024",4,1,"100",0,"CRD","237.5","03/12/2024"
"7739p1","7739","13/08/2024",3,1,"50",31,"CRC","169","03/12/2024"
"7739p2","7739","13/08/2024",3,2,"50",61,"CRC","169","03/12/2024"
"7740p1","7740","12/08/2024",17,1,"100",0,"VIST","739.1","03/12/2024"
"7741p1","7741","12/09/2024",,1,"10",31,,"615.32","03/12/2024"
"7741p2","7741","12/10/2024",,2,"10",61,,"615.32","03/12/2024"
"7741p3","7741","12/11/2024",,3,"10",92,,"615.32","03/12/2024"
"7741p4","7741","12/12/2024",,4,"10",122,,"615.32","03/12/2024"
"7741p5","7741","12/01/2025",,5,"10",153,,"615.32","03/12/2024"
"7741p6","7741","12/02/2025",,6,"10",184,,"615.32","03/12/2024"
"7741p7","7741","12/03/2025",,7,"10",212,,"615.32","03/12/2024"
"7741p8","7741","12/04/2025",,8,"10",243,,"615.32","03/12/2024"
"7741p9","7741","12/05/2025",,9,"10",273,,"615.32","03/12/2024"
"7741p10","7741","12/06/2025",,10,"10",304,,"615.32","03/12/2024"
"7742p1","7742","12/08/2024",17,1,"100",0,"VIST","3250","03/12/2024"
"7743p1","7743","14/08/2024",17,1,"100",0,"VIST","252","03/12/2024"
"7744p1","7744","12/09/2024",,1,"25",31,,"437.63","03/12/2024"
"7744p2","7744","12/10/2024",,2,"25",61,,"437.63","03/12/2024"
"7744p3","7744","12/11/2024",,3,"25",92,,"437.63","03/12/2024"
"7744p4","7744","12/12/2024",,4,"25",122,,"437.61","03/12/2024"
"7745p1","7745","12/08/2024",17,1,"100",0,"VIST","575.7","03/12/2024"
"7746p1","7746","12/09/2024",15,1,"50",31,"BOL","225.5","03/12/2024"
"7746p2","7746","12/10/2024",15,2,"50",61,"BOL","225.5","03/12/2024"
"7748p1","7748","12/09/2024",,1,"25",31,,"408.75","03/12/2024"
"7748p2","7748","12/10/2024",,2,"25",61,,"408.75","03/12/2024"
"7748p3","7748","12/11/2024",,3,"25",92,,"408.75","03/12/2024"
"7748p4","7748","12/12/2024",,4,"25",122,,"408.75","03/12/2024"
"7749p1","7749","19/08/2024",3,1,"100",0,"CRC","218","03/12/2024"
"7750p1","7750","12/08/2024",17,1,"100",0,"VIST","321.1","03/12/2024"
"7751p1","7751","12/08/2024",17,1,"100",0,"VIST","522.5","03/12/2024"
"7752p1","7752","12/08/2024",17,1,"49.44",31,"VIST","2737.98","03/12/2024"
"7752p2","7752","14/08/2024",3,2,"10.11",61,"CRC","560","03/12/2024"
"7752p3","7752","14/08/2024",3,3,"10.11",92,"CRC","560","03/12/2024"
"7752p4","7752","14/08/2024",3,4,"10.11",122,"CRC","560","03/12/2024"
"7752p5","7752","14/08/2024",3,5,"10.11",153,"CRC","560","03/12/2024"
"7752p6","7752","14/08/2024",3,6,"10.12",184,"CRC","560","03/12/2024"
"7753p1","7753","13/08/2024",3,1,"50",31,"CRC","449","03/12/2024"
"7753p2","7753","13/08/2024",3,2,"50",61,"CRC","449","03/12/2024"
"7754p1","7754","12/09/2024",,1,"100",31,,"1415","03/12/2024"
"7755p1","7755","12/09/2024",15,1,"100",31,"BOL","1095","03/12/2024"
"7756p1","7756","13/09/2024",15,1,"50",31,"BOL","218.5","03/12/2024"
"7756p2","7756","13/10/2024",15,2,"50",61,"BOL","218.5","03/12/2024"
"7757p1","7757","14/08/2024",17,1,"100",0,"VIST","321.1","03/12/2024"
"7758p1","7758","13/09/2024",15,1,"50",31,"BOL","154.75","03/12/2024"
"7758p2","7758","13/10/2024",15,2,"50",61,"BOL","154.75","03/12/2024"
"7759p1","7759","16/08/2024",17,1,"100",0,"VIST","1365.15","03/12/2024"
"7760p1","7760","29/09/2024",15,1,"33.33",31,"BOL","209","03/12/2024"
"7760p2","7760","29/10/2024",15,2,"33.33",61,"BOL","209","03/12/2024"
"7760p3","7760","29/11/2024",15,3,"33.34",92,"BOL","209","03/12/2024"
"7761p1","7761","13/09/2024",15,1,"100",31,"BOL","320","03/12/2024"
"7762p1","7762","13/09/2024",15,1,"100",31,"BOL","160","03/12/2024"
"7763p1","7763","13/08/2024",17,1,"20.5472",31,"VIST","1137.88","03/12/2024"
"7763p2","7763","13/10/2024",3,2,"19.86",61,"CRC","1100","03/12/2024"
"7763p3","7763","13/11/2024",3,3,"19.86",92,"CRC","1100","03/12/2024"
"7763p4","7763","13/12/2024",3,4,"19.86",122,"CRC","1100","03/12/2024"
"7763p5","7763","13/01/2025",3,5,"19.8728",153,"CRC","1100","03/12/2024"
"7764p1","7764","14/09/2024",15,1,"100",31,"BOL","184","03/12/2024"
"7765p1","7765","15/08/2024",3,1,"100",31,"CRC","201.6","03/12/2024"
"7766p1","7766","29/08/2024",17,1,"100",0,"PIX","290","03/12/2024"
"7767p1","7767","14/09/2024",15,1,"25",31,"BOL","422.5","03/12/2024"
"7767p2","7767","14/10/2024",15,2,"25",61,"BOL","422.5","03/12/2024"
"7767p3","7767","14/11/2024",15,3,"25",92,"BOL","422.5","03/12/2024"
"7767p4","7767","14/12/2024",15,4,"25",122,"BOL","422.5","03/12/2024"
"7768p1","7768","14/08/2024",,1,"100",0,,"481.68","03/12/2024"
"7769p1","7769","14/09/2024",15,1,"100",31,"BOL","2395","03/12/2024"
"7770p1","7770","19/08/2024",17,1,"100",0,"VIST","338","03/12/2024"
"7772p1","7772","15/08/2024",17,1,"10",31,"VIST","615.32","03/12/2024"
"7772p2","7772","14/10/2024",3,2,"10",61,"CRC","615.32","03/12/2024"
"7772p3","7772","14/11/2024",3,3,"10",92,"CRC","615.32","03/12/2024"
"7772p4","7772","14/12/2024",3,4,"10",122,"CRC","615.32","03/12/2024"
"7772p5","7772","14/01/2025",3,5,"10",153,"CRC","615.32","03/12/2024"
"7772p6","7772","14/02/2025",3,6,"10",184,"CRC","615.32","03/12/2024"
"7772p7","7772","14/03/2025",3,7,"10",212,"CRC","615.32","03/12/2024"
"7772p8","7772","14/04/2025",3,8,"10",243,"CRC","615.32","03/12/2024"
"7772p9","7772","14/05/2025",3,9,"10",273,"CRC","615.32","03/12/2024"
"7772p10","7772","14/06/2025",3,10,"10",304,"CRC","615.32","03/12/2024"
"7773p1","7773","14/09/2024",15,1,"50",31,"BOL","253.5","03/12/2024"
"7773p2","7773","14/10/2024",15,2,"50",61,"BOL","253.5","03/12/2024"
"7774p1","7774","14/09/2024",15,1,"100",31,"BOL","1575","03/12/2024"
"7775p1","7775","15/09/2024",15,1,"50",31,"BOL","169","03/12/2024"
"7775p2","7775","15/10/2024",15,2,"50",61,"BOL","169","03/12/2024"
"7776p1","7776","19/09/2024",15,1,"33.33",31,"BOL","263","03/12/2024"
"7776p2","7776","19/10/2024",15,2,"33.33",61,"BOL","263","03/12/2024"
"7776p3","7776","19/11/2024",15,3,"33.34",92,"BOL","263","03/12/2024"
"7777p1","7777","15/08/2024",17,1,"100",0,"VIST","1014","03/12/2024"
"7778p1","7778","15/09/2024",15,1,"100",31,"BOL","1255","03/12/2024"
"7779p1","7779","19/08/2024",3,1,"25",31,"CRC","383.75","03/12/2024"
"7779p2","7779","19/08/2024",3,2,"25",61,"CRC","383.75","03/12/2024"
"7779p3","7779","19/08/2024",3,3,"25",92,"CRC","383.75","03/12/2024"
"7779p4","7779","19/08/2024",3,4,"25",122,"CRC","383.75","03/12/2024"
"7780p1","7780","15/08/2024",17,1,"100",0,"VIST","1365.15","03/12/2024"
"7781p1","7781","20/08/2024",3,1,"100",31,"CRC","1785","03/12/2024"
"7782p1","7782","15/09/2024",15,1,"33.33",31,"BOL","325","03/12/2024"
"7782p2","7782","15/10/2024",15,2,"33.33",61,"BOL","325","03/12/2024"
"7782p3","7782","15/11/2024",15,3,"33.34",92,"BOL","325","03/12/2024"
"7783p1","7783","06/10/2024",3,1,"100",30,"CRC","126","03/12/2024"
"7784p1","7784","22/08/2024",17,1,"100",0,"VIST","323","03/12/2024"
"7785p1","7785","16/08/2024",1,1,"100",0,"DIN","250","03/12/2024"
"7786p1","7786","20/08/2024",3,1,"100",31,"CRC","184","03/12/2024"
"7787p1","7787","20/08/2024",3,1,"100",0,"CRC","167","03/12/2024"
"7788p1","7788","16/08/2024",17,1,"100",0,"VIST","123","03/12/2024"
"7789p1","7789","16/09/2024",15,1,"100",31,"BOL","496","03/12/2024"
"7790p1","7790","16/09/2024",15,1,"100",31,"BOL","935","03/12/2024"
"7791p1","7791","21/08/2024",17,1,"100",0,"VIST","430","03/12/2024"
"7792p1","7792","21/08/2024",3,1,"100",31,"CRC","1190","03/12/2024"
"7793p1","7793","16/08/2024",17,1,"100",0,"VIST","321.1","03/12/2024"
"7794p1","7794","21/08/2024",3,1,"33.33",31,"CRC","215","03/12/2024"
"7794p2","7794","21/08/2024",3,2,"33.33",61,"CRC","215","03/12/2024"
"7794p3","7794","21/08/2024",3,3,"33.34",92,"CRC","215","03/12/2024"
"7795p1","7795","19/08/2024",17,1,"100",0,"VIST","130","03/12/2024"
"7796p1","7796","19/09/2024",15,1,"100",31,"BOL","640","03/12/2024"
"7797p1","7797","19/09/2024",15,1,"100",31,"BOL","640","03/12/2024"
"7798p1","7798","19/09/2024",15,1,"100",31,"BOL","960","03/12/2024"
"7799p1","7799","19/09/2024",15,1,"100",31,"BOL","640","03/12/2024"
"7800p1","7800","21/08/2024",17,1,"100",0,"VIST","145.99","03/12/2024"
"7801p1","7801","19/09/2024",15,1,"100",31,"BOL","640","03/12/2024"
"7802p1","7802","19/09/2024",15,1,"100",31,"BOL","1415","03/12/2024"
"7803p1","7803","19/08/2024",17,1,"100",0,"VIST","282","03/12/2024"
"7804p1","7804","19/09/2024",15,1,"100",31,"BOL","615","03/12/2024"
"7805p1","7805","22/08/2024",3,1,"100",31,"CRC","189","03/12/2024"
"7806p1","7806","20/09/2024",3,1,"33.33",31,"CRC","291.33","03/12/2024"
"7806p2","7806","20/10/2024",3,2,"33.33",61,"CRC","291.33","03/12/2024"
"7806p3","7806","20/11/2024",3,3,"33.34",92,"CRC","291.34","03/12/2024"
"7807p1","7807","22/08/2024",3,1,"33.33",31,"CRC","281.67","03/12/2024"
"7807p2","7807","22/08/2024",3,2,"33.33",61,"CRC","281.67","03/12/2024"
"7807p3","7807","22/08/2024",3,3,"33.34",92,"CRC","281.66","03/12/2024"
"7808p1","7808","21/08/2024",3,1,"100",31,"CRC","198","03/12/2024"
"7809p1","7809","21/08/2024",3,1,"50",31,"CRC","169","03/12/2024"
"7809p2","7809","21/08/2024",3,2,"50",61,"CRC","169","03/12/2024"
"7810p1","7810","20/09/2024",15,1,"100",31,"BOL","184","03/12/2024"
"7812p1","7812","20/08/2024",17,1,"100",0,"VIST","130.99","03/12/2024"
"7813p1","7813","20/08/2024",17,1,"100",0,"VIST","390","03/12/2024"
"7814p1","7814","06/09/2024",17,1,"100",31,"PIX","332.8","03/12/2024"
"7815p1","7815","20/09/2024",15,1,"50",31,"BOL","189.5","03/12/2024"
"7815p2","7815","20/10/2024",15,2,"50",61,"BOL","189.5","03/12/2024"
"7816p1","7816","20/09/2024",15,1,"100",31,"BOL","390","03/12/2024"
"7817p1","7817","23/08/2024",3,1,"8.33",31,"CRC","512.77","03/12/2024"
"7817p2","7817","23/08/2024",3,2,"8.33",61,"CRC","512.77","03/12/2024"
"7817p3","7817","23/08/2024",3,3,"8.33",92,"CRC","512.77","03/12/2024"
"7817p4","7817","23/08/2024",3,4,"8.33",122,"CRC","512.77","03/12/2024"
"7817p5","7817","23/08/2024",3,5,"8.33",153,"CRC","512.77","03/12/2024"
"7817p6","7817","23/08/2024",3,6,"8.33",184,"CRC","512.77","03/12/2024"
"7817p7","7817","23/08/2024",3,7,"8.33",212,"CRC","512.77","03/12/2024"
"7817p8","7817","23/08/2024",3,8,"8.33",243,"CRC","512.77","03/12/2024"
"7817p9","7817","23/08/2024",3,9,"8.33",273,"CRC","512.77","03/12/2024"
"7817p10","7817","23/08/2024",3,10,"8.33",304,"CRC","512.77","03/12/2024"
"7817p11","7817","23/08/2024",3,11,"8.33",334,"CRC","512.77","03/12/2024"
"7817p12","7817","23/08/2024",3,12,"8.37",365,"CRC","512.73","03/12/2024"
"7818p1","7818","29/08/2024",17,1,"100",0,"PIX","338","03/12/2024"
"7819p1","7819","27/09/2024",15,1,"100",31,"BOL","126","03/12/2024"
"7820p1","7820","01/11/2024",3,1,"25",31,"CRC","412.5","03/12/2024"
"7820p2","7820","01/12/2024",3,2,"25",61,"CRC","412.5","03/12/2024"
"7820p3","7820","01/01/2025",3,3,"25",92,"CRC","412.5","03/12/2024"
"7820p4","7820","31/01/2025",3,4,"25",122,"CRC","412.5","03/12/2024"
"7821p1","7821","22/08/2024",17,1,"100",0,"VIST","5385","03/12/2024"
"7822p1","7822","22/08/2024",17,1,"100",0,"VIST","616","03/12/2024"
"7823p1","7823","30/08/2024",15,1,"100",0,"BOL","958","03/12/2024"
"7824p1","7824","21/09/2024",,1,"100",31,,"184","03/12/2024"
"7825p1","7825","21/08/2024",17,1,"100",0,"VIST","321.1","03/12/2024"
"7826p1","7826","21/09/2024",15,1,"100",31,"BOL","1735","03/12/2024"
"7827p1","7827","22/08/2024",17,1,"100",0,"VIST","175.55","03/12/2024"
"7828p1","7828","22/09/2024",15,1,"50",31,"BOL","141.5","03/12/2024"
"7828p2","7828","22/10/2024",15,2,"50",61,"BOL","141.5","03/12/2024"
"7829p1","7829","27/09/2024",15,1,"50",31,"BOL","261","03/12/2024"
"7829p2","7829","27/10/2024",15,2,"50",61,"BOL","261","03/12/2024"
"7830p1","7830","26/08/2024",3,1,"100",31,"CRC","338","03/12/2024"
"7831p1","7831","22/09/2024",15,1,"100",31,"BOL","935","03/12/2024"
"7832p1","7832","22/08/2024",17,1,"100",0,"VIST","65.55","03/12/2024"
"7833p1","7833","29/10/2024",17,1,"100",0,"PIX","112","03/12/2024"
"7834p1","7834","22/09/2024",15,1,"50",31,"BOL","169","03/12/2024"
"7834p2","7834","22/10/2024",15,2,"50",61,"BOL","169","03/12/2024"
"7835p1","7835","22/09/2024",15,1,"33.33",31,"BOL","213.33","03/12/2024"
"7835p2","7835","22/10/2024",15,2,"33.33",61,"BOL","213.33","03/12/2024"
"7835p3","7835","22/11/2024",15,3,"33.34",92,"BOL","213.34","03/12/2024"
"7836p1","7836","23/08/2024",17,1,"100",0,"VIST","89","03/12/2024"
"7837p1","7837","22/08/2024",17,1,"8.05",31,"VIST","500","03/12/2024"
"7837p2","7837","30/09/2024",15,2,"7.66",61,"BOL","476.23","03/12/2024"
"7837p3","7837","30/11/2024",15,3,"7.66",92,"BOL","476.23","03/12/2024"
"7837p4","7837","30/12/2024",15,4,"7.66",122,"BOL","476.23","03/12/2024"
"7837p5","7837","30/01/2025",15,5,"7.66",153,"BOL","476.23","03/12/2024"
"7837p6","7837","28/02/2025",15,6,"7.66",184,"BOL","476.23","03/12/2024"
"7837p7","7837","30/03/2025",15,7,"7.66",212,"BOL","476.23","03/12/2024"
"7837p8","7837","30/04/2025",15,8,"7.66",243,"BOL","476.23","03/12/2024"
"7837p9","7837","30/05/2025",15,9,"7.66",273,"BOL","476.23","03/12/2024"
"7837p10","7837","30/06/2025",15,10,"7.66",304,"BOL","476.23","03/12/2024"
"7837p11","7837","30/07/2025",15,11,"7.66",334,"BOL","476.23","03/12/2024"
"7837p12","7837","30/08/2025",15,12,"7.66",365,"BOL","476.23","03/12/2024"
"7837p13","7837","30/09/2025",15,13,"7.69",396,"BOL","476.17","03/12/2024"
"7838p1","7838","23/08/2024",17,1,"100",0,"VIST","160.55","03/12/2024"
"7839p1","7839","23/08/2024",17,1,"100",0,"VIST","175.55","03/12/2024"
"7840p1","7840","23/09/2024",17,1,"8.05",31,"VIST","500","03/12/2024"
"7840p2","7840","23/10/2024",15,2,"7.66",61,"BOL","476.23","03/12/2024"
"7840p3","7840","23/11/2024",15,3,"7.66",92,"BOL","476.23","03/12/2024"
"7840p4","7840","23/12/2024",15,4,"7.66",122,"BOL","476.23","03/12/2024"
"7840p5","7840","23/01/2025",15,5,"7.66",153,"BOL","476.23","03/12/2024"
"7840p6","7840","23/02/2025",15,6,"7.66",184,"BOL","476.23","03/12/2024"
"7840p7","7840","23/03/2025",15,7,"7.66",212,"BOL","476.23","03/12/2024"
"7840p8","7840","23/04/2025",15,8,"7.66",243,"BOL","476.23","03/12/2024"
"7840p9","7840","23/05/2025",15,9,"7.66",273,"BOL","476.23","03/12/2024"
"7840p10","7840","23/06/2025",15,10,"7.66",304,"BOL","476.23","03/12/2024"
"7840p11","7840","23/07/2025",15,11,"7.66",334,"BOL","476.23","03/12/2024"
"7840p12","7840","23/08/2025",15,12,"7.66",365,"BOL","476.23","03/12/2024"
"7840p13","7840","23/09/2025",15,13,"7.69",396,"BOL","476.17","03/12/2024"
"7841p1","7841","26/08/2024",17,1,"100",0,"VIST","330","03/12/2024"
"7842p1","7842","23/09/2024",3,1,"25",31,"CRC","253.5","03/12/2024"
"7842p2","7842","23/10/2024",3,2,"25",61,"CRC","253.5","03/12/2024"
"7842p3","7842","23/11/2024",3,3,"25",92,"CRC","253.5","03/12/2024"
"7842p4","7842","23/12/2024",3,4,"25",122,"CRC","253.5","03/12/2024"
"7843p1","7843","31/10/2024",17,1,"100",0,"PIX","69","03/12/2024"
"7844p1","7844","23/08/2024",5,1,"100",0,"VIST","4695.86","03/12/2024"
"7845p1","7845","23/09/2024",15,1,"100",31,"BOL","169","03/12/2024"
"7846p1","7846","23/09/2024",15,1,"50",31,"BOL","218.5","03/12/2024"
"7846p2","7846","23/10/2024",15,2,"50",61,"BOL","218.5","03/12/2024"
"7847p1","7847","26/08/2024",17,1,"100",0,"VIST","213","03/12/2024"
"7848p1","7848","23/09/2024",15,1,"100",31,"BOL","800","03/12/2024"
"7849p1","7849","23/09/2024",15,1,"100",31,"BOL","1575","03/12/2024"
"7850p1","7850","17/10/2024",4,1,"100",0,"CRD","294","03/12/2024"
"7851p1","7851","26/09/2024",15,1,"50",31,"BOL","253.5","03/12/2024"
"7851p2","7851","26/10/2024",15,2,"50",61,"BOL","253.5","03/12/2024"
"7852p1","7852","26/08/2024",17,1,"100",0,"PIX","5385","03/12/2024"
"7853p1","7853","26/09/2024",3,1,"20",31,"CRC","365.54","03/12/2024"
"7853p2","7853","26/10/2024",3,2,"20",61,"CRC","365.54","03/12/2024"
"7853p3","7853","26/11/2024",3,3,"20",92,"CRC","365.54","03/12/2024"
"7853p4","7853","26/12/2024",3,4,"20",122,"CRC","365.54","03/12/2024"
"7853p5","7853","26/01/2025",3,5,"20",153,"CRC","365.53","03/12/2024"
"7854p1","7854","26/09/2024",3,1,"25",31,"CRC","292.5","03/12/2024"
"7854p2","7854","26/10/2024",3,2,"25",61,"CRC","292.5","03/12/2024"
"7854p3","7854","26/11/2024",3,3,"25",92,"CRC","292.5","03/12/2024"
"7854p4","7854","26/12/2024",3,4,"25",122,"CRC","292.5","03/12/2024"
"7856p1","7856","26/08/2024",17,1,"100",0,"PIX","178.4","03/12/2024"
"7857p1","7857","26/09/2024",15,1,"20",31,"BOL","338","03/12/2024"
