"codigo_item","numero_pedido","codigo_produto","cfop","ncm","percentual_desconto","quantidade","reservado","valor_deducao","valor_desconto","valor_mercadoria","valor_total","valor_unitario","dalt"
"8433314965","7703","8431504534","5.102","2934.30.90","0",1,"N","0","0","176","176","176","03/12/2024"
"8433315502","7703","8431498680","5.102","2934.30.90","0",1,"N","0","0","176","176","176","03/12/2024"
"8433336351","7704","8425297430","6.108","9018.20.90","0",1,"N","0","0","5537.13","5537.13","5537.13","03/12/2024"
"8433352866","7706","8425327198","5.102","3004.90.99","5",1,"N","0","23.95","479","455.05","479","03/12/2024"
"8433353155","7706","8425327213","5.102","3006.10.90","0",1,"N","0","0","169","169","169","03/12/2024"
"8433453528","7707","8425327198","5.102","3004.90.99","0",4,"N","0","0","1916","1916","479","03/12/2024"
"8433454018","7707","8425327211","5.102","3006.10.90","0",6,"N","0","0","1014","1014","169","03/12/2024"
"8433497420","7708","8431592121","5.102","3006.10.90","0",1,"N","0","0","268","288","268","03/12/2024"
"8434206610","7709","8425327211","5.102","3006.10.90","1.4792899408",1,"N","0","2.5","169","166.5","169","03/12/2024"
"8434210597","7709","8425327213","5.102","3006.10.90","1.4792899408",1,"N","0","2.5","169","166.5","169","03/12/2024"
"8434233760","7710","8431790036","5.102","9021.10.10","20",2,"N","0","56","280","244","140","03/12/2024"
"8434240721","7711","8431790039","5.102","9021.10.10","30",12,"N","0","151.2","504","352.8","42","03/12/2024"
"8434254274","7713","8431592146","5.102","3004.90.99","0",3,"N","0","0","507","507","169","03/12/2024"
"8434289174","7714","8431790039","5.102","9021.10.10","30",15,"N","0","189","630","441","42","03/12/2024"
"8453425248","7714","8431790039","5.102","9021.10.10","30",20,"N","0","252","840","588","42","03/12/2024"
"8434317258","7715","8425297430","5.102","9018.20.90","0",1,"N","0","0","5385","5385","5385","03/12/2024"
"8434357922","7716","8431592146","5.102","3004.90.99","5.325443787",3,"N","0","27","507","480","169","03/12/2024"
"8434358709","7716","8425327191","5.102","3004.90.99","5.325443787",3,"N","0","27","507","480","169","03/12/2024"
"8434841212","7717","8425327198","5.102","3004.90.99","0",1,"N","0","0","430","430","430","03/12/2024"
"8434863645","7718","8431663452","5.102","3306.90.00","0",1,"N","0","0","175","175","175","03/12/2024"
"8434865608","7719","8425327213","5.102","3006.10.90","0",3,"N","0","0","507","507","169","03/12/2024"
"8435210757","7720","8431630591","5.102","3006.10.90","0",1,"N","0","0","99","99","99","03/12/2024"
"8435210965","7720","8425327191","5.102","3004.90.99","0",1,"N","0","0","169","169","169","03/12/2024"
"8435248964","7721","8431323167","5.102","3006.10.90","0",1,"N","0","0","282","352","282","03/12/2024"
"8435255971","7722","8431592137","5.102","3004.90.99","0",3,"N","0","0","507","524.5","169","03/12/2024"
"8435256206","7722","8425327191","5.102","3004.90.99","0",3,"N","0","0","507","524.5","169","03/12/2024"
"8435279399","7723","8425327213","5.102","3006.10.90","0",1,"N","0","0","169","169","169","03/12/2024"
"8435281762","7723","8425327198","5.102","3004.90.99","0",1,"N","0","0","479","479","479","03/12/2024"
"8435338477","7724","8432527640","5.102","9021.10.10","0",1,"N","0","0","135","135","135","03/12/2024"
"8435612700","7725","8431323177","5.102","3006.10.90","0",2,"N","0","0","258","268.99","129","03/12/2024"
"8435613768","7725","8431323167","5.102","3006.10.90","0",2,"N","0","0","564","588.01","282","03/12/2024"
"8435666924","7726","8431630591","5.102","3006.10.90","5",6,"N","0","29.7","594","564.3","99","03/12/2024"
"8435925901","7727","8431652419","5.102","9018.39.29","0",1,"N","0","0","54","84","54","03/12/2024"
"8436000778","7728","8431790039","5.102","9021.10.10","30",10,"N","0","126","420","294","42","03/12/2024"
"8436150091","7729","8431630591","5.102","3006.10.90","0",1,"N","0","0","99","99","99","03/12/2024"
"8436151891","7729","8425327191","5.102","3004.90.99","0",1,"N","0","0","169","169","169","03/12/2024"
"8436183195","7730","8431790036","5.102","9021.10.10","0",1,"N","0","0","112","112","112","03/12/2024"
"8436212118","7731","8432532290","5.102","9021.10.10","0",1,"N","0","0","108","123","108","03/12/2024"
"8436255946","7732","8425327211","5.102","3006.10.90","0",4,"N","0","0","640","640","160","03/12/2024"
"8436256306","7732","8425327191","5.102","3004.90.99","0",4,"N","0","0","640","640","160","03/12/2024"
"8437350233","7733","8431790039","5.102","9021.10.10","50",2,"N","0","48","96","48","48","03/12/2024"
"8437602978","7734","8425327211","5.102","3006.10.90","5.325443787",1,"N","0","9","169","175","169","03/12/2024"
"8437709896","7735","8425327211","5.102","3006.10.90","0",6,"N","0","0","1014","1044","169","03/12/2024"
"8437751312","7736","8425297430","5.102","9018.20.90","0",1,"N","0","0","6753.42","6753.42","6753.42","03/12/2024"
"8437896300","7737","8431790036","5.102","9021.10.10","0",1,"N","0","0","112","112","112","03/12/2024"
"8438194337","7738","8431553173","5.102","3006.10.90","5",1,"N","0","6.25","125","118.75","125","03/12/2024"
"8438195774","7738","8431553159","5.102","3006.10.90","5",1,"N","0","6.25","125","118.75","125","03/12/2024"
"8439105770","7739","8425327211","5.102","3006.10.90","0",1,"N","0","0","169","169","169","03/12/2024"
"8439109283","7739","8431592146","5.102","3004.90.99","0",1,"N","0","0","169","169","169","03/12/2024"
"8439426684","7740","8425327198","5.102","3004.90.99","5",1,"N","0","23.95","479","455.05","479","03/12/2024"
"8439653348","7740","8439650373","5.102","9018.49.19","5",1,"N","0","14.95","299","284.05","299","03/12/2024"
"8439713031","7741","8425297430","5.102","9018.20.90","0",1,"N","0","0","6153.2","6153.2","6153.2","03/12/2024"
"8440034961","7742","8440010990","5.102","0000.00.00","0",1,"N","0","0","3250","3250","3250","03/12/2024"
"8440130461","7743","8425327191","5.102","3004.90.99","0",1,"N","0","0","169","179.7","169","03/12/2024"
"8440133404","7743","8430426215","5.102","5603.12.40","0",2,"N","0","0","68","72.3","34","03/12/2024"
"8440167073","7744","8425327198","5.102","3004.90.99","0",2,"N","0","0","958","977.55","479","03/12/2024"
"8440175719","7744","8431592137","5.102","3004.90.99","0",2,"N","0","0","338","344.9","169","03/12/2024"
"8440202798","7744","8431553129","5.102","3006.10.90","0",1,"N","0","0","125","127.55","125","03/12/2024"
"8440303883","7744","8440242093","5.102","9018.39.99","0",50,"N","0","0","99.5","101.53","1.99","03/12/2024"
"8440306906","7744","8440220755","5.102","9018.39.99","0",1,"N","0","0","195","198.97","195","03/12/2024"
"8440402257","7745","8431592121","5.102","3006.10.90","5",1,"N","0","13.4","268","254.6","268","03/12/2024"
"8440402302","7745","8425327211","5.102","3006.10.90","5",2,"N","0","16.9","338","321.1","169","03/12/2024"
"8440425404","7746","8431323167","5.102","3006.10.90","0",1,"N","0","0","282","282","282","03/12/2024"
"8440425481","7746","8431592137","5.102","3004.90.99","0",1,"N","0","0","169","169","169","03/12/2024"
"8440440311","7748","8440438969","5.102","9018.49.19","30",20,"N","0","210","700","504.45","35","03/12/2024"
"8440440655","7748","8431790039","5.102","9021.10.10","30",20,"N","0","252","840","605.34","42","03/12/2024"
"8440442258","7748","8432526174","5.102","9021.10.10","20",10,"N","0","128","640","525.21","64","03/12/2024"
"8440442880","7749","8431630591","5.102","3006.10.90","0",2,"N","0","0","198","218","99","03/12/2024"
"8440473020","7750","8425327191","5.102","3004.90.99","5",1,"N","0","8.45","169","160.55","169","03/12/2024"
"8440473250","7750","8425327211","5.102","3006.10.90","5",1,"N","0","8.45","169","160.55","169","03/12/2024"
"8440485934","7751","8432526164","5.102","9021.10.10","5",5,"N","0","27.5","550","522.5","110","03/12/2024"
"8440494307","7752","8425297430","5.102","9018.20.90","0",1,"N","0","0","5537.98","5537.98","5537.98","03/12/2024"
"8440553921","7753","8431628815","5.102","3004.90.99","0",1,"N","0","0","419","419","419","03/12/2024"
"8440554073","7753","8425327198","5.102","3004.90.99","0",1,"N","0","0","479","479","479","03/12/2024"
"8440560176","7754","8425327211","5.102","3006.10.90","0",2,"N","0","0","320","320","160","03/12/2024"
"8440560647","7754","8425327198","5.102","3004.90.99","0",1,"N","0","0","455","455","455","03/12/2024"
"8440560831","7754","8425327191","5.102","3004.90.99","0",4,"N","0","0","640","640","160","03/12/2024"
"8440564211","7755","8425327211","5.102","3006.10.90","0",2,"N","0","0","320","320","160","03/12/2024"
"8440564356","7755","8425327198","5.102","3004.90.99","0",1,"N","0","0","455","455","455","03/12/2024"
"8440564677","7755","8425327191","5.102","3004.90.99","0",2,"N","0","0","320","320","160","03/12/2024"
"8440626807","7756","8431592121","5.102","3006.10.90","0",1,"N","0","0","268","268","268","03/12/2024"
"8440627295","7756","8425327211","5.102","3006.10.90","0",1,"N","0","0","169","169","169","03/12/2024"
"8440648509","7757","8425327191","5.102","3004.90.99","5",1,"N","0","8.45","169","160.55","169","03/12/2024"
"8440648641","7757","8425327211","5.102","3006.10.90","5",1,"N","0","8.45","169","160.55","169","03/12/2024"
"8440716212","7758","8440220755","5.102","9018.39.99","0",1,"N","0","0","195","204.93","195","03/12/2024"
"8440716489","7758","8440242093","5.102","9018.39.99","0",50,"N","0","0","99.5","104.57","1.99","03/12/2024"
"8440834165","7759","8425327198","5.102","3004.90.99","5",3,"N","0","71.85","1437","1365.15","479","03/12/2024"
"8440860859","7760","8432526164","5.102","9021.10.10","5",6,"N","0","33","660","627","110","03/12/2024"
"8440946100","7761","8425327211","5.102","3006.10.90","0",1,"N","0","0","160","160","160","03/12/2024"
"8440946215","7761","8425327191","5.102","3004.90.99","0",1,"N","0","0","160","160","160","03/12/2024"
"8440960405","7762","8431592146","5.102","3004.90.99","0",1,"N","0","0","160","160","160","03/12/2024"
"8440981569","7763","8425297430","5.102","9018.20.90","0",1,"N","0","0","5537.88","5537.88","5537.88","03/12/2024"
"8441527821","7764","8425327213","5.102","3006.10.90","0",1,"N","0","0","169","184","169","03/12/2024"
"8441627096","7765","8431790039","5.102","9021.10.10","20",6,"N","0","50.4","252","201.6","42","03/12/2024"
"8441635060","7766","8431790036","5.102","9021.10.10","0",2,"N","0","0","280","290","140","03/12/2024"
"8441650008","7767","8431592146","5.102","3004.90.99","0",3,"N","0","0","507","507","169","03/12/2024"
"8441650409","7767","8425327191","5.102","3004.90.99","0",4,"N","0","0","676","676","169","03/12/2024"
"8441650529","7767","8431592137","5.102","3004.90.99","0",3,"N","0","0","507","507","169","03/12/2024"
"8441667772","7768","8425327213","5.102","3006.10.90","4.9940828402",2,"N","0","16.88","338","321.12","169","03/12/2024"
"8441667815","7768","8425327191","5.102","3004.90.99","4.9940828402",1,"N","0","8.44","169","160.56","169","03/12/2024"
"8441695475","7769","8425327198","5.102","3004.90.99","0",5,"N","0","0","2395","2395","479","03/12/2024"
"8441698777","7770","8425327211","5.102","3006.10.90","0",1,"N","0","0","169","169","169","03/12/2024"
"8441699600","7770","8431592137","5.102","3004.90.99","0",1,"N","0","0","169","169","169","03/12/2024"
"8441812740","7772","8425297430","6.108","9018.20.90","0",1,"N","0","0","6153.2","6153.2","6153.2","03/12/2024"
"8441819077","7773","8425327211","5.102","3006.10.90","0",3,"N","0","0","507","507","169","03/12/2024"
"8441930617","7774","8425327211","5.102","3006.10.90","0",4,"N","0","0","640","640","160","03/12/2024"
"8441931030","7774","8425327198","5.102","3004.90.99","0",1,"N","0","0","455","455","455","03/12/2024"
"8441931457","7774","8425327191","5.102","3004.90.99","0",3,"N","0","0","480","480","160","03/12/2024"
"8442132479","7775","8425327213","5.102","3006.10.90","0",1,"N","0","0","169","169","169","03/12/2024"
"8442132651","7775","8425327191","5.102","3004.90.99","0",1,"N","0","0","169","169","169","03/12/2024"
"8442148826","7776","8425327191","5.102","3004.90.99","0",2,"N","0","0","338","338","169","03/12/2024"
"8442149136","7776","8431323167","5.102","3006.10.90","0",1,"N","0","0","282","282","282","03/12/2024"
"8442149379","7776","8425327211","5.102","3006.10.90","0",1,"N","0","0","169","169","169","03/12/2024"
"8442180320","7777","8425327211","5.102","3006.10.90","0",3,"N","0","0","507","507","169","03/12/2024"
"8442180450","7777","8425327191","5.102","3004.90.99","0",3,"N","0","0","507","507","169","03/12/2024"
"8442218054","7778","8425327211","6.108","3006.10.90","0",2,"N","0","0","320","320","160","03/12/2024"
"8442218529","7778","8425327198","6.108","3004.90.99","0",1,"N","0","0","455","455","455","03/12/2024"
"8442218842","7778","8431592146","6.108","3004.90.99","0",1,"N","0","0","160","160","160","03/12/2024"
"8442219181","7778","8425327191","6.108","3004.90.99","0",2,"N","0","0","320","320","160","03/12/2024"
"8442258456","7779","8440220755","5.102","9018.39.99","0",1,"N","0","0","195","195","195","03/12/2024"
"8442262130","7779","8431592121","5.102","3006.10.90","0",5,"N","0","0","1340","1340","268","03/12/2024"
"8442326526","7780","8425327198","5.102","3004.90.99","5",3,"N","0","71.85","1437","1365.15","479","03/12/2024"
"8442336006","7781","8425327211","5.102","3006.10.90","29.5857988166",15,"N","0","750","2535","1785","169","03/12/2024"
"8442350714","7782","8431553212","5.102","3006.10.90","0",5,"N","0","0","975","975","195","03/12/2024"
"8442424044","7783","8431790036","5.102","9021.10.10","10",1,"N","0","14","140","126","140","03/12/2024"
"8442617643","7784","8440438973","6.102","9018.49.19","4.8583333333",2,"N","0","11.66","240","228.34","120","03/12/2024"
"8442617745","7784","8440242093","6.102","9018.39.99","4.864321608",50,"N","0","4.84","99.5","94.66","1.99","03/12/2024"
"8442626219","7785","8431323167","5.102","3006.10.90","0",1,"N","0","0","250","250","250","03/12/2024"
"8442655450","7786","8425327213","5.102","3006.10.90","0",1,"N","0","0","169","184","169","03/12/2024"
"8442801236","7787","8431671245","5.102","9018.49.99","0",1,"N","0","0","132","167","132","03/12/2024"
"8442943130","7788","8432532290","5.102","9021.10.10","0",1,"N","0","0","108","123","108","03/12/2024"
"8443042037","7789","8431323167","5.102","3006.10.90","0",1,"N","0","0","282","310.14","282","03/12/2024"
"8443042861","7789","8425327211","5.102","3006.10.90","0",1,"N","0","0","169","185.86","169","03/12/2024"
"8443137589","7790","8425327211","5.102","3006.10.90","0",3,"N","0","0","480","480","160","03/12/2024"
"8443141738","7790","8425327198","5.102","3004.90.99","0",1,"N","0","0","455","455","455","03/12/2024"
"8443212212","7791","8425327198","5.102","3004.90.99","0",1,"N","0","0","430","430","430","03/12/2024"
"8443243766","7792","8425327211","5.102","3006.10.90","29.5857988166",10,"N","0","500","1690","1190","169","03/12/2024"
"8443290865","7793","8425327191","5.102","3004.90.99","5",1,"N","0","8.45","169","160.55","169","03/12/2024"
"8443290958","7793","8425327211","5.102","3006.10.90","5",1,"N","0","8.45","169","160.55","169","03/12/2024"
"8443972859","7794","8431323177","5.102","3006.10.90","0",5,"N","0","0","645","645","129","03/12/2024"
"8444000508","7795","8431592137","5.102","3004.90.99","0",1,"N","0","0","130","130","130","03/12/2024"
"8444038918","7796","8425327211","5.102","3006.10.90","0",2,"N","0","0","320","320","160","03/12/2024"
"8444039159","7796","8431592146","5.102","3004.90.99","0",1,"N","0","0","160","160","160","03/12/2024"
"8444039329","7796","8425327191","5.102","3004.90.99","0",1,"N","0","0","160","160","160","03/12/2024"
"8444044249","7797","8425327211","5.102","3006.10.90","0",2,"N","0","0","320","320","160","03/12/2024"
"8444044700","7797","8425327191","5.102","3004.90.99","0",2,"N","0","0","320","320","160","03/12/2024"
"8444055711","7798","8425327211","5.102","3006.10.90","0",2,"N","0","0","320","320","160","03/12/2024"
"8444057121","7798","8431592146","5.102","3004.90.99","0",2,"N","0","0","320","320","160","03/12/2024"
"8444058199","7798","8425327191","5.102","3004.90.99","0",2,"N","0","0","320","320","160","03/12/2024"
"8444062132","7799","8425327211","5.102","3006.10.90","0",2,"N","0","0","320","320","160","03/12/2024"
"8444062312","7799","8431592146","5.102","3004.90.99","0",1,"N","0","0","160","160","160","03/12/2024"
"8444062406","7799","8425327191","5.102","3004.90.99","0",1,"N","0","0","160","160","160","03/12/2024"
"8444867827","7800","8425327191","5.102","3004.90.99","0",1,"N","0","0","130.99","145.99","130.99","03/12/2024"
"8444069467","7801","8425327211","5.102","3006.10.90","0",2,"N","0","0","320","320","160","03/12/2024"
"8444069818","7801","8431592146","5.102","3004.90.99","0",1,"N","0","0","160","160","160","03/12/2024"
"8444070199","7801","8425327191","5.102","3004.90.99","0",1,"N","0","0","160","160","160","03/12/2024"
"8444075332","7802","8425327211","5.102","3006.10.90","0",4,"N","0","0","640","640","160","03/12/2024"
"8444075427","7802","8425327198","5.102","3004.90.99","0",1,"N","0","0","455","455","455","03/12/2024"
"8444075506","7802","8425327191","5.102","3004.90.99","0",2,"N","0","0","320","320","160","03/12/2024"
"8444110081","7803","8431323167","5.102","3006.10.90","0",1,"N","0","0","282","282","282","03/12/2024"
"8444146046","7804","8425327211","5.102","3006.10.90","0",1,"N","0","0","160","160","160","03/12/2024"
"8444146260","7804","8425327198","5.102","3004.90.99","0",1,"N","0","0","455","455","455","03/12/2024"
"8444181458","7805","8425327191","5.102","3004.90.99","0",1,"N","0","0","169","189","169","03/12/2024"
"8444370831","7806","8425327213","5.102","3006.10.90","0",2,"N","0","0","338","338","169","03/12/2024"
"8444371124","7806","8425327211","5.102","3006.10.90","0",2,"N","0","0","338","338","169","03/12/2024"
"8444371354","7806","8431630591","5.102","3006.10.90","0",2,"N","0","0","198","198","99","03/12/2024"
"8444396500","7807","8431592137","5.102","3004.90.99","0",4,"N","0","0","676","676","169","03/12/2024"
"8444399205","7807","8425327211","5.102","3006.10.90","0",1,"N","0","0","169","169","169","03/12/2024"
"8444537696","7808","8431630591","5.102","3006.10.90","0",2,"N","0","0","198","198","99","03/12/2024"
"8444586724","7809","8431592146","5.102","3004.90.99","0",1,"N","0","0","169","169","169","03/12/2024"
"8444587190","7809","8425327211","5.102","3006.10.90","0",1,"N","0","0","169","169","169","03/12/2024"
"8444600390","7810","8431592146","5.102","3004.90.99","0",1,"N","0","0","169","184","169","03/12/2024"
"8444623230","7812","8425327191","5.102","3004.90.99","0",1,"N","0","0","130.99","130.99","130.99","03/12/2024"
"8444627579","7813","8431592137","5.102","3004.90.99","0",3,"N","0","0","390","390","130","03/12/2024"
"8444670380","7814","8431652419","5.102","9018.39.29","0",1,"N","0","0","54","54","54","03/12/2024"
"8444670515","7814","8431504522","5.102","9018.49.99","0",1,"N","0","0","49.9","49.9","49.9","03/12/2024"
"8444670829","7814","8425297440","5.102","9004.90.20","0",1,"N","0","0","79.9","79.9","79.9","03/12/2024"
"8444670902","7814","8431672770","5.102","9018.20.90","0",1,"N","0","0","149","149","149","03/12/2024"
"8444711557","7815","8425327211","5.102","3006.10.90","0",1,"N","0","0","169","175.96","169","03/12/2024"
"8444711919","7815","8431553243","5.102","3006.10.90","0",1,"N","0","0","195","203.04","195","03/12/2024"
"8444828906","7816","8440220755","5.102","9018.39.99","0",1,"N","0","0","195","217.29","195","03/12/2024"
"8444829048","7816","8431553135","5.102","3006.10.90","0",1,"N","0","0","125","139.29","125","03/12/2024"
"8444847050","7816","8444846887","5.102","9018.39.99","0",50,"N","0","0","30","33.42","0.6","03/12/2024"
"8444856574","7817","8425297430","5.102","9018.20.90","0",1,"N","0","0","6153.2","6153.2","6153.2","03/12/2024"
"8444870851","7818","8425327191","5.102","3004.90.99","0",1,"N","0","0","169","169","169","03/12/2024"
"8444870913","7818","8425327211","5.102","3006.10.90","0",1,"N","0","0","169","169","169","03/12/2024"
"8445015287","7819","8431790036","5.102","9021.10.10","10",1,"N","0","14","140","126","140","03/12/2024"
"8445093406","7820","8425327191","5.102","3004.90.99","0",1,"N","0","0","169","170.55","169","03/12/2024"
"8514738709","7820","8431628815","5.102","3004.90.99","0",1,"N","0","0","419","422.84","419","03/12/2024"
"8514739087","7820","8425327198","5.102","3004.90.99","0",1,"N","0","0","479","483.39","479","03/12/2024"
"8514739653","7820","8425327211","5.102","3006.10.90","0",1,"N","0","0","169","170.55","169","03/12/2024"
"8514740099","7820","8425327213","5.102","3006.10.90","0",1,"N","0","0","399","402.67","399","03/12/2024"
"8445144826","7821","8425297430","5.102","9018.20.90","0",1,"N","0","0","5385","5385","5385","03/12/2024"
"8445257640","7822","8432526164","5.102","9021.10.10","20",7,"N","0","154","770","616","110","03/12/2024"
"8445265757","7823","8425327198","5.102","3004.90.99","0",2,"N","0","0","958","958","479","03/12/2024"
"8445308680","7824","8425327191","5.102","3004.90.99","0",1,"N","0","0","169","184","169","03/12/2024"
"8445404778","7825","8425327211","5.102","3006.10.90","5",2,"N","0","16.9","338","321.1","169","03/12/2024"
"8445406508","7826","8425327211","5.102","3006.10.90","0",4,"N","0","0","640","640","160","03/12/2024"
"8445406707","7826","8425327198","5.102","3004.90.99","0",1,"N","0","0","455","455","455","03/12/2024"
"8445406840","7826","8425327191","5.102","3004.90.99","0",4,"N","0","0","640","640","160","03/12/2024"
"8445412002","7827","8425327191","5.102","3004.90.99","5",1,"N","0","8.45","169","175.55","169","03/12/2024"
"8445510230","7828","8425327191","5.102","3004.90.99","0",1,"N","0","0","169","178.46","169","03/12/2024"
"8445510373","7828","8431630591","5.102","3006.10.90","0",1,"N","0","0","99","104.54","99","03/12/2024"
"8445512073","7829","8431790036","5.102","9021.10.10","10",1,"N","0","14","140","126","140","03/12/2024"
"8445512278","7829","8432526164","5.102","9021.10.10","10",4,"N","0","44","440","396","110","03/12/2024"
"8445552156","7830","8425327211","5.102","3006.10.90","0",2,"N","0","0","338","338","169","03/12/2024"
"8445601000","7831","8425327198","5.102","3004.90.99","0",1,"N","0","0","455","455","455","03/12/2024"
"8445601474","7831","8425327191","5.102","3004.90.99","0",3,"N","0","0","480","480","160","03/12/2024"
"8445674911","7832","8431669661","5.102","9018.39.29","6.3888888889",1,"N","0","3.45","54","65.55","54","03/12/2024"
"8445610782","7833","8431790036","5.102","9021.10.10","20",1,"N","0","28","140","112","140","03/12/2024"
"8445644623","7834","8425327191","5.102","3004.90.99","0",2,"N","0","0","338","338","169","03/12/2024"
"8445673074","7835","8431628815","5.102","3004.90.99","24.8210023866",2,"N","0","208","838","640","419","03/12/2024"
"8445695845","7836","8431669661","6.108","9018.39.29","0",1,"N","0","0","54","89","54","03/12/2024"
"8445841979","7837","8425297430","6.108","9018.20.90","0",1,"N","0","0","6214.7","6214.7","6214.7","03/12/2024"
"8445959918","7838","8425327191","5.102","3004.90.99","5",1,"N","0","8.45","169","160.55","169","03/12/2024"
"8445967501","7839","8425327191","5.102","3004.90.99","5",1,"N","0","8.45","169","175.55","169","03/12/2024"
"8445976670","7840","8425297430","6.108","9018.20.90","0",1,"N","0","0","6214.7","6214.7","6214.7","03/12/2024"
"8445990660","7841","8431498680","5.102","2934.30.90","0",2,"N","0","0","330","330","165","03/12/2024"
"8445993569","7842","8431592146","5.102","3004.90.99","0",3,"N","0","0","507","507","169","03/12/2024"
